Age,Gender,Weight(kg),Daily Water Intake (liters),Physical Activity Level,Hydration Level
43,Female,93.45,1.64,Moderate,At Risk of Dehydration
43,Male,78.15,3.51,Low,Hydrated
56,Female,80.82,2.96,Low,Hydrated
45,Male,98.33,3.58,Low,Hydrated
22,Female,86.86,2.59,High,At Risk of Dehydration
26,Male,64.3,2.63,Moderate,At Risk of Dehydration
40,Female,79.4,3.17,High,At Risk of Dehydration
27,Female,87.84,3.51,High,At Risk of Dehydration
28,Female,58.5,3.2,Low,At Risk of Dehydration
54,Female,58.11,1.91,Moderate,At Risk of Dehydration
44,Male,98.8,1.75,Low,At Risk of Dehydration
23,Female,97.75,3.68,Low,Hydrated
24,Female,86.42,2.83,Low,At Risk of Dehydration
37,Female,54.86,3.07,High,At Risk of Dehydration
20,Female,50.85,1.76,Moderate,At Risk of Dehydration
50,Male,67.52,1.02,Moderate,At Risk of Dehydration
19,Male,88.51,1.56,Moderate,At Risk of Dehydration
36,Female,67.7,1.59,Moderate,At Risk of Dehydration
21,Male,61.7,1.76,High,At Risk of Dehydration
31,Female,51.01,1.12,High,At Risk of Dehydration
47,Female,65.46,1.64,High,At Risk of Dehydration
28,Female,53.33,2.47,High,At Risk of Dehydration
51,Male,88.07,1.4,Low,At Risk of Dehydration
53,Male,91.68,2.85,Low,At Risk of Dehydration
24,Male,90.75,3.94,Moderate,Hydrated
56,Male,99.19,1.84,Low,At Risk of Dehydration
53,Female,53.18,3.25,Low,At Risk of Dehydration
35,Male,71.27,1.13,Low,At Risk of Dehydration
52,Male,60.83,1.78,Low,Hydrated
37,Male,61.28,1.62,Moderate,At Risk of Dehydration
36,Female,63.12,2.4,Low,Hydrated
29,Male,77.57,1.32,Moderate,At Risk of Dehydration
59,Male,74.43,1.29,High,At Risk of Dehydration
39,Female,67.71,1.92,Moderate,At Risk of Dehydration
49,Male,65.76,2.63,Moderate,At Risk of Dehydration
46,Female,76.53,2.01,Moderate,At Risk of Dehydration
46,Male,70.28,3.19,High,At Risk of Dehydration
30,Female,45.3,1.85,Moderate,At Risk of Dehydration
56,Male,79.97,1.96,Low,Hydrated
23,Male,93.69,1.1,High,At Risk of Dehydration
26,Male,87.39,2.5,Low,At Risk of Dehydration
37,Male,91.26,2.17,Low,At Risk of Dehydration
48,Female,63.02,1.53,Low,At Risk of Dehydration
34,Male,94.98,3.51,Moderate,Hydrated
23,Female,92.95,3.37,Low,Hydrated
44,Female,97.15,2.36,Moderate,At Risk of Dehydration
59,Female,89.76,3.74,Moderate,At Risk of Dehydration
49,Male,45.7,2.28,Low,At Risk of Dehydration
56,Female,78.03,2.47,Low,At Risk of Dehydration
33,Female,93.82,2.83,High,At Risk of Dehydration
54,Female,79.94,2.22,High,At Risk of Dehydration
28,Female,57.58,3.23,Moderate,At Risk of Dehydration
26,Female,73.42,4.0,Low,Hydrated
34,Female,66.8,2.71,Low,Hydrated
59,Male,67.14,2.35,Moderate,Hydrated
34,Male,50.15,1.15,Moderate,At Risk of Dehydration
51,Male,67.79,1.43,Moderate,At Risk of Dehydration
21,Female,58.21,3.37,High,At Risk of Dehydration
56,Female,95.57,3.09,Low,At Risk of Dehydration
29,Female,56.13,3.51,Moderate,At Risk of Dehydration
26,Female,97.7,2.41,Moderate,At Risk of Dehydration
24,Female,97.61,2.31,Low,At Risk of Dehydration
32,Male,60.41,3.51,Moderate,Hydrated
55,Female,79.25,3.05,High,At Risk of Dehydration
35,Female,89.23,2.38,Moderate,At Risk of Dehydration
36,Male,52.62,2.68,High,At Risk of Dehydration
22,Female,84.24,2.45,Low,At Risk of Dehydration
36,Male,52.36,1.43,High,At Risk of Dehydration
21,Male,70.99,3.15,Low,At Risk of Dehydration
52,Female,71.06,2.19,Low,At Risk of Dehydration
46,Female,68.18,1.73,High,At Risk of Dehydration
41,Male,79.82,1.37,Moderate,At Risk of Dehydration
31,Female,91.36,3.08,Moderate,At Risk of Dehydration
39,Female,87.02,2.41,Low,At Risk of Dehydration
49,Female,73.09,1.95,Moderate,At Risk of Dehydration
56,Female,57.72,1.72,Moderate,Hydrated
40,Male,65.07,2.02,High,At Risk of Dehydration
36,Male,50.51,1.89,Low,At Risk of Dehydration
22,Female,55.38,3.93,High,Hydrated
